Country Rank,Country / Territory,CPI 2011 Score,Country Rank.1,Surveys Used,Standard Deviation,Maximum score,Minimum score,90% Confidence Interval (Lower bound),90% Confidence Interval (Higher bound),AFDB,ADB,BF_SGI,BF_TI,EIU_CRR,FH_NIT,GI_CRR,IMD2010,IMD2011,PERC2010,PERC2011,PRS_ICRG,TI_BPI,WB_CPIA,WEF2010,WEF2011,WJP_ROL
143,Timor-Leste,2.376135,143,5.0,0.2605403,3.258844,1.517568,1.951546,2.800723,,1.517568,,,,,2.084189,,,,,,,2.700869,2.319202,3.258844,
143,Togo,2.382138,143,5.0,0.0761471,2.594364,2.154731,2.255695,2.508581,2.366238,,,2.236539,,,2.594364,,,,,2.558819,,2.154731,,,
143,Uganda,2.433897,143,9.0,0.133586,3.189486,2.074261,2.229162,2.667326,2.366238,,,3.089837,3.189486,,2.084189,,,,,2.558819,,2.154731,2.074261,2.104733,2.282783
152,Tajikistan,2.271689,152,7.0,0.2848879,3.642444,1.481738,1.813426,2.761562,,2.117112,,1.481738,,2.252666,1.50348,,,,,,,1.817989,3.086394,3.642444,
152,Ukraine,2.296875,152,10.0,0.0990442,2.763531,1.839337,2.135612,2.460901,,,,2.236539,1.876116,2.763531,2.594364,2.655763,1.839337,,,2.558819,,,2.06163,2.147911,2.234744
154,Central African Republic,2.210424,154,4.0,0.0521467,2.366238,2.084189,2.122277,2.301388,2.366238,,,2.236539,,,2.084189,,,,,,,2.154731,,,
154,Congo  Republic,2.154337,154,6.0,0.1002416,2.558819,1.876116,1.993832,2.315129,2.366238,,,1.885931,1.876116,,2.084189,,,,,2.558819,,2.154731,,,
154,Côte d´Ivoire,2.233704,154,8.0,0.1526096,3.189486,1.817989,2.002228,2.50174,2.366238,,,1.885931,3.189486,,2.084189,,,,,2.558819,,1.817989,2.075244,1.891732,
154,Guinea-Bissau,2.201865,154,4.0,0.104936,2.558819,2.00972,2.046955,2.356775,2.00972,,,,,,2.084189,,,,,2.558819,,2.154731,,,
154,Kenya,2.24349,154,9.0,0.1218993,2.700869,1.50348,2.03475,2.435783,2.366238,,,2.56624,1.876116,,1.50348,,,,,2.558819,,2.700869,2.304561,2.319202,1.995889
154,Laos,2.213967,154,4.0,0.1575506,2.731017,1.885931,1.98506,2.519745,,2.731017,,1.885931,,,2.084189,,,,,,,2.154731,,,
154,Nepal,2.211227,154,6.0,0.0989055,2.731017,2.026212,2.076621,2.400034,,2.731017,,2.026212,,,2.084189,,,,,,,2.154731,2.05201,2.219204,
154,Papua New Guinea,2.165489,154,6.0,0.1635699,2.700869,1.50348,1.892306,2.430279,,2.117112,,2.236539,1.876116,,1.50348,,,,,2.558819,,2.700869,,,
154,Paraguay,2.217671,154,6.0,0.1670578,3.089837,1.876116,1.985558,2.530133,,,,3.089837,1.876116,,2.084189,,,,,1.950985,,,2.263147,2.04175,
154,Zimbabwe,2.229767,154,8.0,0.3685221,3.786644,0.9305564,1.627744,2.853831,1.477945,,,1.481738,3.189486,,2.084189,,,,,0.9305564,,1.367659,3.786644,3.519914,
164,Cambodia,2.110559,164,10.0,0.1483849,3.12722,1.481738,1.881608,2.370173,,2.731017,,1.481738,1.876116,,2.084189,,,1.901029,1.901029,,,1.817989,2.34593,3.12722,1.839337
164,Guinea,2.110293,164,6.0,0.1110718,2.56624,1.817989,1.938427,2.30421,2.366238,,,2.56624,1.876116,,2.084189,,,,,1.950985,,1.817989,,,
164,Kyrgyzstan,2.119878,164,8.0,0.0892493,2.594364,1.652712,1.972417,2.264243,,2.117112,,2.026212,,2.252666,2.594364,,,,,,,2.154731,2.212817,1.652712,1.948407
164,Yemen,2.080347,164,6.0,0.1243267,2.558819,1.571689,1.871814,2.27767,,,,2.236539,1.876116,,2.084189,,,,,2.558819,,2.154731,,1.571689,
168,Angola,2.005035,168,8.0,0.1016714,2.558819,1.50348,1.841519,2.174484,2.00972,,,1.885931,1.876116,,1.50348,,,,,2.558819,,2.154731,2.212148,1.839337,
168,Chad,2.040463,168,6.0,0.0547903,2.282783,1.817989,1.952614,2.128313,2.00972,,,2.026212,,,2.084189,,,,,,,1.817989,2.282783,2.021888,
168,Democratic Republic of the Congo ,2.021067,168,5.0,0.0861822,2.366238,1.817989,1.884818,2.170368,2.366238,,,1.885931,,,2.084189,,,,,1.950985,,1.817989,,,
168,Libya,2.01449,168,6.0,0.1269652,2.594364,1.652712,1.814126,2.235673,1.776226,,,2.236539,1.876116,,2.594364,,,,,1.950985,,,1.652712,,
172,Burundi,1.935236,172,6.0,0.1389261,2.532598,1.50348,1.717447,2.176514,1.776226,,,2.236539,,,1.50348,,,,,,,1.817989,2.532598,1.744585,
172,Equatorial Guinea,1.912177,172,3.0,0.0747475,2.084189,1.776226,1.809523,2.014831,1.776226,,,,1.876116,,2.084189,,,,,,,,,,
172,Venezuela,1.889497,172,9.0,0.0996869,2.34593,1.377327,1.723622,2.051462,,,,1.481738,1.876116,,2.084189,1.938191,2.219204,,,1.377327,,,1.744585,1.938191,2.34593
175,Haiti,1.799883,175,5.0,0.1379916,2.154731,1.377327,1.557565,2.034207,,,,2.026212,,,1.50348,,,,,1.377327,,2.154731,,1.937667,
175,Iraq,1.804128,175,4.0,0.0870988,1.950985,1.50348,1.689798,1.918458,,,,1.885931,1.876116,,1.50348,,,,,1.950985,,,,,
177,Sudan,1.563758,177,6.0,0.0784729,1.876116,1.367659,1.435169,1.697582,1.776226,,,1.481738,1.876116,,1.50348,,,,,1.377327,,1.367659,,,
177,Turkmenistan,1.603173,177,3.0,0.1169831,1.885931,1.420108,1.447899,1.758448,,,,1.885931,,1.420108,1.50348,,,,,,,,,,
177,Uzbekistan,1.624563,177,6.0,0.1066654,2.084189,1.367659,1.451355,1.809714,,1.517568,,1.481738,1.876116,1.420108,2.084189,,,,,,,1.367659,,,
180,Afghanistan,1.517093,180,4.0,0.1040734,1.817989,1.229336,1.366408,1.670826,,1.517568,,1.229336,,,1.50348,,,,,,,1.817989,,,
180,Myanmar,1.490296,180,4.0,0.2643764,1.950985,0.6306016,0.9606974,1.894833,,,,0.6306016,1.876116,,1.50348,,,,,1.950985,,,,,
182,Korea (North),1.009626,182,3.0,0.2428218,1.377327,0.4222137,0.6912544,1.327997,,,,1.229336,,,0.4222137,,,,,1.377327,,,,,
182,Somalia,0.9834057,182,4.0,0.2315391,1.50348,0.4222137,0.5785046,1.408866,0.4222137,,,0.6306016,,,1.50348,,,,,1.377327,,,,,
